x	y

7.682064339	715.3540281

271.9450776	454.0459505

271.9450776	411.4212286

396.3945199	720.9137744

414.8314743	646.7838233

298.0640963	552.2681357

76.82064339	702.3812866

218.1706272	580.0668673

204.3429114	531.8823991

379.4939783	437.3667115





224.3162787	209.4171118

118.3037908	113.0481754

0	140.8469071

73.74781765	0

196.6608471	75.98319987

308.8189864	66.71695599

316.5010508	342.8510238

199.7336728	333.5847799

296.5276835	250.188585

35.33749596	51.89096577

364.1298497	328.0250336





628.3928629	585.6266137

866.5368574	570.8006234

659.1211203	531.8823991

565.3999353	804.3099694

742.0874151	615.2785941

742.0874151	759.8319987

788.1798012	561.5343796

557.717871	591.18636

507.0162464	683.8487989

702.1406806	637.5175794

712.8955706	654.1968184

666.8031846	802.4567206

626.85645	635.6643307

665.2667717	739.4462622

556.1814581	743.1527597

889.5830504	787.6307304

